NAME           SIZE TYPE MOUNTPOINT
sda            3.6T disk 
└─sda1         3.6T part 
mmcblk0       29.1G disk 
├─mmcblk0p1    487M part /boot
└─mmcblk0p2   28.7G part /
mmcblk0boot0     4M disk 
mmcblk0boot1     4M disk 
nvme0n1      232.9G disk 
├─nvme0n1p1   14.9G part [SWAP]
├─nvme0n1p2  186.3G part /nix
└─nvme0n1p3   31.7G part /home
